AccountID,RMSE,SI
16460,17192.38246,1.82193643
c4325b8f-693c-4605-b685-360e36c31697,3928.844769,2.241306689
17f16911-4247-4728-a435-f4bf2f48e27b,8618.352838,4.541549332
c9f19b41-8752-401e-b054-12f9d14cdeb7,26352.46013,1.375408454
e3b8d5ec-34c5-4393-b847-bd767ee9f81e,39243.1097,1.016311641
59059cb4-0709-49ae-875e-36288851bd89,6244.597703,1.464012215
6c56d04a-1117-42e6-95e2-72822200e38d,44413.89307,1.041209359
8339fc7d-61c3-43bb-8ad5-8660b0bcb712,592756.2052,1.819063189
dfb63784-48ca-4052-84e5-b40c2f8e864e,3929.031413,4.934630066
a65906d8-751f-4245-b7d2-33cc1637a407,2554.237508,1.603814078
19a47e6f-9d45-4880-85df-a0f0f097fbce,13558.0873,1.829422902
81d899e7-8481-4131-80d8-93916053860a,1595.465857,4.878093534
6cbfd1a9-41a4-4298-a4f9-0ec22c8c7f69,4794.257834,3.112511724
703b6494-3f65-40e0-a144-95f9120517e0,1971.568147,0.986099625
4b171653-23c9-4f55-924a-46e51bf11ee4,93507.51013,0.48901272
3f69d1bf-2f5b-4a23-ae0a-37584c0efcb5,9644.671562,1.474584237
19bdb0e0-fb03-4ee4-a68c-f96085eb54e1,299.908075,2.57449503
a9ed81c3-becb-4678-bf97-fc818437e705,6757.21274,5.273494085
93b8ef16-1a00-4d2b-84c9-6f5ecac24d1b,2271.237534,1.767172721
d4cc0802-2242-4c9b-aead-5669e55c6376,179.415801,2.711129931
14140acd-2e5b-444b-8f78-8a250a5e95a2,6819.715575,3.582317728
8b42f28f-2bce-49ce-91cc-f984569aba91,158958.1982,1.132668591
08ea2f1f-1243-46cb-bd4a-4e42a4b58145,9315.008989,32.61329385
4e21e99b-cd3f-4d39-8e53-80c8e0246385,1147.897326,5.526548706
8bacc438-5861-4835-ab6b-b9a8a33e222e,1473.33629,4.12965297
bfbf55b0-788b-4360-ad05-513ee728e199,1325.603233,1.215402673
16453,7461.337978,2.361272573
b14d2023-4953-4c39-ac02-e52c4b1abeb7,8862.337922,1.431355062
9a4a60fa-075b-451a-81f4-7fd886f91965,4476.790858,1.386649033
09010ad7-6091-428f-b534-0ef0f47ad120,2391.017932,1.069393278
608a67d0-8359-403e-8883-c185053923ba,5211.875646,1.320206852
039e3173-3844-46a6-98ff-90c3203d49a0,5428.294187,0.935981214
50472786-7419-4b44-adbb-5ae6fc683f51,3183.665226,12.49083971
27c64d1c-7e03-4026-b215-10a5add4f3be,2831.646877,1.383402028
70907c46-c3be-4ceb-a5e9-4deb8b5eb755,543.0478181,3.292945156
5907b372-3a5d-405c-aa94-39c29e98a818,929.9803206,5.041199509
72dcc65b-268f-4b10-8d29-3f1bc4112384,6355.648713,3.477535778
16447,38089.06944,1.819030352
12bc2cb3-3e59-4472-b053-4dd33acd2ae0,9554.752712,10.36955051
093c2487-a68d-4d94-8f38-eb7b05a801ea,386133.0016,0.82987837
16423,1287.343949,1.764417828
38dd4dfd-5d6e-42ba-9c1f-62727986dad7,1733.303177,3.100687966
e7723aa5-1224-45d6-aa68-4de3a81c0604,11667.45472,1.658459937
29f5c5a3-dbad-449f-b015-8a6f9b275091,16381.56329,1.749857802
e3224f97-0eb1-4f42-963e-87bb423bdab7,6763.600573,1.733579128
16403,3415.929007,144.3634945
c9df399e-c2c4-4ee2-850e-e8cb30902131,15486.42376,5.763252313
16430,29957.34762,19.09699891
d9bc0fc9-8b67-47df-bf5c-041adbfa73c7,21605.73793,1.028349489
7139ca78-e5f7-4085-b42b-cbb0689ca3f4,867.8263236,1.259160958
ef467def-c278-49f1-a075-61e761552fa2,6156.526266,0.797600028
7547da59-a90f-4ec0-a18f-ed5cf2566db9,193996.5616,1.121799541
2c0f6759-5828-4f02-9753-eeb2267f5bde,3431.651679,1.321311342
1186c2fd-7a00-4f21-956f-8c5a896d9111,7291.140177,4.674095442
ee6dc233-1f0c-4d94-bbfa-a927fd50bd7d,4467.186582,2.969548332
42bbec89-106f-450f-828b-c19b95cead84,4717.940977,3.770958919
5e722a02-4402-40ec-ab37-dc869ca84938,702.4050461,2.428394609
fa86b4a3-44ab-4bcb-88fe-46e4a451e100,7332.892165,10.53564351
16428,37645.62565,45.38023247
239f0be0-bce4-40e1-9a0f-ead10ee1bc82,638.2967429,2.605462981
c95dc9a3-5d04-45f4-b915-09f1c3d0ba1c,7481.568639,2.375092107
c50e3f81-848c-47a3-a6b4-cc35dd973dfe,4464.467163,1.102989015
38e35232-6848-41ed-9a10-8715528d534a,3530.924485,1.764194963
0bd83140-a80d-4a56-954f-ca87c8403f9d,13361.31464,7.603675037
e4c14997-7738-4507-918d-977f64935ad4,3024.707929,0.791369169
04592e1b-d2c3-45bb-97bc-cc52161579c8,606.4958263,4.975967726
7773e91e-eb18-48b5-89cc-1da8dac00d70,2526.880941,2.076153259
1fd4d3bf-8ab4-40dc-a8e0-ef25373306bb,2543.777823,35.79256822
02d044ad-9384-4099-b623-004965e0de44,1894.828958,2.447821123
78db5423-a74c-44ba-b1db-26f8b3e24014,10363.98717,7.159486793
e873aead-0589-4fd0-bc92-b81ef46f9b39,148347.2019,1.444674167
0040d55b-4582-41fa-90c8-b4706c9b7152,6345.007091,1.491653004
7eab31ae-9e1e-476e-a170-0096a0c0789e,11357.14712,4.977419419
863e46c4-6cdc-44dc-a950-f6d42d70ee85,5583.985957,1.730812683
19f0b674-b9ae-431f-a87a-538fa51f8c8e,11855.01101,4.025320281
d3f048e7-3d2b-445f-a9c9-1b82e873f13d,31610.99061,0.736645156
3d9865bf-09e9-4412-89d0-1b3b783eb974,7523.238619,1.10416847
eb914441-4054-464e-bd33-e27a94a95c4f,6181.4017,5.589779444
c3beeaa8-87ce-455d-9482-e01679b9d1eb,11548.02951,3.53475255
16275,185930.0691,0.735776084
8c915c1f-86cf-4712-ad8d-c1c6fd6db49d,2937.813054,1.626017185
dd5a2ca5-9432-407d-9355-9109361b0212,138.5726949,9.353539986
9017ca88-e286-46ab-9b79-1c7102f3c43f,2630.04273,6.064254064
4190cd47-6c10-434a-99b3-51ed9499ff1c,7469.231528,1.472701842
