AccountID,Difference,Highest Amount,Lowest Amount
ec5f06dc-4601-48f7-9f98-5e1cab7fef30,0.0,-712.3899999999999,-712.3899999999999
5b74e76a-5211-4eeb-a58b-b952ef4dad05,0.0,-6011.900000000001,-6011.900000000001
75c5de1e-ea8e-4292-bbdd-208619c52bf9,0.0,-5759.4400000000005,-5759.4400000000005
d0e8786d-0722-4201-b92b-98971320da47,0.0,0.0,0.0
5c9a8148-80f7-4f50-a743-e5aa862df2f6,0.0,-27907.489999999998,-27907.489999999998
ef6c06ee-8674-4267-8c69-f0671308c180,0.0,-3556.21,-3556.21
16448,0.0,402.1400000000001,402.1400000000001
e520d0a6-a1d7-468a-9d5b-3e554dafe615,0.0,-5569.8,-5569.8
de5ae23a-7bc6-46b7-9dd1-bbd280221ce8,0.0,0.0,0.0
37a4fd57-0597-4e55-bd80-30b98e0a213a,0.0,0.0,0.0
42f9221c-4768-4a06-86b5-fca66c9df450,0.0,-1272.39,-1272.39
ae6b8404-cbae-4fc0-8e3e-674dd22ddf16,0.0,-352.85,-352.85
db48cc76-5b96-45bd-89b6-3156b074d255,0.0,-2400.17,-2400.17
154aa72f-d25a-4d11-acfc-bd2d79b780e8,0.0,-10801.47,-10801.47
4b6d8ae8-a990-4b23-ace4-172d17eb6a28,0.0,3396.9999999999995,3396.9999999999995
82a5f1a3-7ae3-40dd-a00b-22edde9a8313,0.0,0.0,0.0
f5b8a677-f3ca-4d65-a1c1-10e0b2050217,0.0,4511.39,4511.39
6c23b7c6-7e43-4350-b335-27026cfdba22,0.0,0.0,0.0
9c2d46b2-a6b5-4fe8-9226-30ad8d04cb6f,0.0,-112174.34,-112174.34
9685a3a5-8229-4e49-afeb-229fdd7c8856,0.0,-1908.19,-1908.19
5a1930fd-1996-4d0a-9ed9-0d19ba207782,0.0,-5933.75,-5933.75
4e21e99b-cd3f-4d39-8e53-80c8e0246385,0.0,0.0,0.0
a0f59288-e4d6-4286-b881-1b2dffb4a919,0.0,-3460.12,-3460.12
248a86c3-cb96-45b7-afd2-88067322313d,0.0,-2045.5799999999997,-2045.5799999999997
a48a1884-0253-4790-910d-0b9c18089494,0.0,-2100.87,-2100.87
8c419033-e828-4c0e-9a54-d9084ddb87fb,0.0,-405937.78,-405937.78
6f84d3b0-3bd9-4528-912f-641dd92e6474,0.0,-71074.11,-71074.11
2a912134-30d4-4caf-b8de-a6a1fce01641,0.0,-11816.58,-11816.58
4ce39bf7-a353-4d67-91fe-11c2ba66d7ef,0.0,2427.1799999999994,2427.1799999999994
420a5bf2-2163-43c2-b34b-d84069841843,0.0,-7862.44,-7862.44
16414,0.0,0.0,0.0
3801dabe-a68f-4951-9c63-a472d846a21f,0.0,-12684.539999999999,-12684.539999999999
046ef4a5-3dd9-487d-b4a1-10601842836c,0.0,0.0,0.0
9a4a60fa-075b-451a-81f4-7fd886f91965,0.0,-2073.41,-2073.41
f1a3f024-a7b5-4577-9792-70976b2bd628,0.0,-3604.800000000001,-3604.800000000001
b398f850-a27e-49e3-8cb6-f350432095d8,0.0,-3789.58,-3789.58
86c33b22-1e16-409e-a7ac-389dc2b6a37d,0.0,857.03,857.03
16443,0.0,-48700.15,-48700.15
bac55f9f-4207-4de6-9f5c-ad982b89301b,0.0,-2895.96,-2895.96
605d8f74-8fae-49a6-8232-10df13b23965,0.0,-2483.08,-2483.08
b0d5a082-5bdf-4181-936e-27695cd0389e,0.0,5293.66,5293.66
f45067ff-7b90-4308-9f0f-d59f468607a4,0.0,-2451.3399999999997,-2451.3399999999997
16409,0.0,0.0,0.0
d9bc0fc9-8b67-47df-bf5c-041adbfa73c7,0.0,-20623.510000000002,-20623.510000000002
7395998c-f7a0-47c4-b1fe-e1e2e268f793,0.0,0.78,0.78
2081376f-518f-42a2-8979-b2423d062652,0.0,0.0,0.0
a54aa6f3-78db-4139-aff8-785b41d7ea13,0.0,0.0,0.0
9247e531-5b00-4833-afe6-49af94548494,0.0,0.0,0.0
3acd58f6-527b-45c6-aa44-31893897db77,0.0,-5101.7,-5101.7
16458,0.0,-898.31,-898.31
c35149f9-ce0f-43cd-b809-42365cb2d1fd,0.0,5496.549999999999,5496.549999999999
a82e315c-10ee-4603-b51c-242888036423,0.0,2091.9000000000005,2091.9000000000005
799b83e5-247c-421c-84f7-74a11cf35fc7,0.0,-70562.71,-70562.71
16457,0.0,-1372.63,-1372.63
1b7b5b96-7f49-4397-ab1a-95aeaad12780,0.0,6636.95,6636.95
9f6c3338-92a5-4c89-b416-b1ec71250f26,0.0,420.18000000000006,420.18000000000006
16455,0.0,-14291.37,-14291.37
72dcc65b-268f-4b10-8d29-3f1bc4112384,0.0,-2606.5,-2606.5
24a890c7-8ed0-4717-a68f-f8989dd296a5,0.0,-7678.41,-7678.41
d3886a65-04e5-4575-b798-7e217cd7d3c6,0.0,-7157.040000000001,-7157.040000000001
009f96bd-aca1-4f13-8507-425aa2ebae12,0.0,1464.78,1464.78
